repo,test_id,framework,line,name,raw_code,sync_pattern,sync_target,sync_placement,is_fixed_delay,sync_arg_kind,sync_call_kind_ast,sync_arg_kind_ast,is_condition_based,is_network_based,is_assertion_retry,is_framework_auto_wait_inferred,sync_evidence_basis,manual_sync_pattern_ok,manual_sync_pattern_should_be,manual_sync_target_ok,manual_sync_target_should_be,manual_sync_arg_kind_ok,manual_sync_arg_kind_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
linode/manager,0078539371398af8b5309b234165cf27,Cypress,1602,cy.wait,"cy.wait([
      '@getCluster',
      '@getNodePoolsNoTags',
      '@getTieredVersions',
      '@getType',
      '@getControlPlaneAcl',
    ])",network_wait,network,test_body,False,alias_array,wait_api,network_alias_array,False,True,False,False,ast_array_literal,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.wait([
      '@getCluster',
      '@getNodePoolsNoTags',
      '@getTieredVersions',
      '@getType',
      '@getControlPlaneAcl',
    ])",false,,,
carbon-design-system/carbon-components-svelte,6511712f27116d402937fe18d3096f78,Playwright,107,page.waitForEvent,"page.waitForEvent(""filechooser"")",event_wait,event,test_body,False,,wait_api,event,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForEvent(""filechooser"")",false,,,
super-productivity/super-productivity,773bc7631c6b5e446fc3195a147e97cd,Playwright,1013,page.waitForTimeout,page.waitForTimeout(UI_SETTLE_SMALL),fixed_delay,time,helper,True,constant_or_expression,wait_api,expression,False,False,False,False,ast_expression_unresolved,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,page.waitForTimeout(UI_SETTLE_SMALL),false,,,
MyCryptoHQ/MyCrypto,a4b1dbf8f050dd1b204ff591c01c5b39,TestCafe,53,t.wait,t.wait(FIXTURES_CONST.TIMEOUT),fixed_delay,time,test_body,True,literal_ms,wait_api,fixed_ms,False,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,t.wait(FIXTURES_CONST.TIMEOUT),false,,,
SonicJs-Org/sonicjs,97e480f9bed511a4352b800cdf9ffe54,Playwright,354,expect(page.locator('#form-response .bg-green-100')).toBeVisible,expect(page.locator('#form-response .bg-green-100')).toBeVisible({ timeout: 10000 }),assertion_retry_wait,assertion,hook,False,,assertion,assertion_retry,False,False,True,False,ast_assertion_matcher,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,expect(page.locator('#form-response .bg-green-100')).toBeVisible({ timeout: 10000 }),false,,,
appsmithorg/appsmith,c3bd38b21c94cdd0e97bbc0105e1c326,Cypress,79,cy.wait,"cy.wait(""@getWorkspace"")",network_wait,network,hook,False,alias_literal,wait_api,network_alias,False,True,False,False,ast_string_literal,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.wait(""@getWorkspace"")",false,,,
openobserve/openobserve,39d07d7a5949f42dd94406d85c5015a0,Playwright,99,page.waitForFunction,"page.waitForFunction(
    () => {
      const dialog = document.querySelector('[data-test=""dialog-box""]');
      if (!dialog) return false;

      // Find the confirm button with data-test attribute inside dialog
      const button = dialog.querySelector('[data-test=""confirm-button""]');
      if (!button) return false;

      // Check if button is stable (has computed style and is not ani...",predicate_or_custom_condition,predicate,helper,False,,predicate,predicate,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForFunction(
    () => {
      const dialog = document.querySelector('[data-test=""dialog-box""]');
      if (!dialog) return false;

      // Find the confirm button with data-test attribute inside dialog
      const button = dialog.querySelector('[data-test=""confirm-button""]');
      if (!button) return false;

      // Check if button is stable (has computed style and is not ani...",false,,,
MyCryptoHQ/MyCrypto,ba598ad12e3bb472c7bd68a1696086ac,TestCafe,29,t.wait,t.wait(FIXTURES_CONST.TIMEOUT),fixed_delay,time,test_body,True,literal_ms,wait_api,fixed_ms,False,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,t.wait(FIXTURES_CONST.TIMEOUT),false,,,
jetkvm/kvm,34990f2516e7c566c47171d8d0a407b1,Playwright,566,page.waitForLoadState,"page.waitForLoadState(""networkidle"")",navigation_or_load_wait,navigation,hook,False,,wait_api,condition,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForLoadState(""networkidle"")",false,,,
appsmithorg/appsmith,9418878137e1aba0d0d575927fd65cf1,Cypress,1858,cy.waitUntil,"cy.waitUntil(() => this.IsContainerReady(containerName), {
        interval: 5000,
        timeout: 60000,
      })",predicate_or_custom_condition,predicate,hook,False,,predicate,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.waitUntil(() => this.IsContainerReady(containerName), {
        interval: 5000,
        timeout: 60000,
      })",false,,,
silevis/reactgrid,cb083fa7a4996f91350b0dac0d1d62e2,Cypress,221,utils.wait,utils.wait(),unresolved_custom_wait,,test_body,False,,wait_api,none,False,False,False,False,ast_call,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,utils.wait(),false,,,
cypress-io/cypress-realworld-app,62ca8aaa2fdb558d7d313df78bde6faf,Cypress,370,cy.wait,cy.wait(`@${feed.routeAlias}`),network_wait,network,test_body,False,alias_expression,wait_api,network_alias_expression,False,True,False,False,ast_template_literal_head,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(`@${feed.routeAlias}`),false,,,
openreplay/openreplay,13a6b4928fc8fa7d71a68af0c9d6a556,Cypress,63,cy.wait,cy.wait(SECOND * 180),fixed_delay,time,test_body,True,constant_or_expression,wait_api,time_expression,False,False,False,False,ast_binary_numeric_expression,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(SECOND * 180),false,,,
openobserve/openobserve,e51ed64f6c5978ed20925e6b26ca9a99,Playwright,23,page.waitForLoadState,"page.waitForLoadState('networkidle', { timeout: 10000 })",navigation_or_load_wait,navigation,hook,False,,wait_api,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForLoadState('networkidle', { timeout: 10000 })",false,,,
patternfly/patternfly-react,43b46a5bd72b951fbb89fce1a0113a1d,Cypress,46,cy.wait,cy.wait(defaultExitDelay + 100),fixed_delay,time,test_body,True,constant_or_expression,wait_api,time_expression,False,False,False,False,ast_binary_numeric_expression,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(defaultExitDelay + 100),false,,,
mattermost/mattermost,9518187b7c7828a372ab5a82fd579aba,Cypress,57,cy.wait,cy.wait(TIMEOUTS.HALF_SEC),fixed_delay,time,test_body,True,constant_or_expression,wait_api,constant_or_expression,False,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(TIMEOUTS.HALF_SEC),false,,,
codex-team/editor.js,d24f0db3dd344bc217c6e486ee1b7e0d,Cypress,261,"cy.get(`[data-cy=${NESTED_EDITOR_ID}]`)
        .find('.ce-inline-tool-input')
        .click()
        .wait","cy.get(`[data-cy=${NESTED_EDITOR_ID}]`)
        .find('.ce-inline-tool-input')
        .click()
        .wait(100)",fixed_delay,time,test_body,True,literal_ms,wait_api,literal_ms,False,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.get(`[data-cy=${NESTED_EDITOR_ID}]`)
        .find('.ce-inline-tool-input')
        .click()
        .wait(100)",false,,,
BuilderIO/builder,5f7672571306772bae948cc479c14d70,Playwright,36,page.waitForEvent,"page.waitForEvent(
    'console',
    msg => msg.text().includes(GEN2_SDK_LOADED_MSG) || msg.text().includes(GEN1_SDK_LOADED_MSG)
  )",event_wait,event,helper,False,,wait_api,event,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForEvent(
    'console',
    msg => msg.text().includes(GEN2_SDK_LOADED_MSG) || msg.text().includes(GEN1_SDK_LOADED_MSG)
  )",false,,,
silevis/reactgrid,0237d73c17772dc0148b99d14be95417,Cypress,37,utils.wait,utils.wait(),unresolved_custom_wait,,test_body,False,,wait_api,none,False,False,False,False,ast_call,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,utils.wait(),false,,,
mattermost/mattermost,b016a1c65277bd943966a09ff6d45c44,Cypress,187,cy.waitUntil,"cy.waitUntil(checkFn, options)",predicate_or_custom_condition,predicate,helper,False,,predicate,predicate,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.waitUntil(checkFn, options)",false,,,
SonicJs-Org/sonicjs,5ff5ab84c24d02b651268212f889c706,Playwright,273,page.waitForLoadState,"page.waitForLoadState('networkidle', { timeout: 15000 })",navigation_or_load_wait,navigation,test_body,False,,wait_api,condition,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForLoadState('networkidle', { timeout: 15000 })",false,,,
openreplay/openreplay,13a6b4928fc8fa7d71a68af0c9d6a556,Cypress,35,cy.wait,cy.wait(SECOND * 3),fixed_delay,time,test_body,True,constant_or_expression,wait_api,time_expression,False,False,False,False,ast_binary_numeric_expression,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(SECOND * 3),false,,,
plasmicapp/plasmic,a9c59e39308216622c400d732c63197f,Cypress,30,"cy.insertFromAddDrawer(""Text"")
          .then(focusFrame)
          .find("".__wab_editor"")
          .wait","cy.insertFromAddDrawer(""Text"")
          .then(focusFrame)
          .find("".__wab_editor"")
          .wait(1000)",fixed_delay,time,test_body,True,literal_ms,wait_api,literal_ms,False,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.insertFromAddDrawer(""Text"")
          .then(focusFrame)
          .find("".__wab_editor"")
          .wait(1000)",false,,,
silevis/reactgrid,9f01286c73f8908c5f333af31923b59b,Cypress,28,utils.wait,utils.wait(),unresolved_custom_wait,,test_body,False,,wait_api,none,False,False,False,False,ast_call,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,utils.wait(),false,,,
RackulaLives/Rackula,63b5095b873224ae34d8ecf9d632ca06,Playwright,149,expect(bottomSheet).toBeVisible,expect(bottomSheet).toBeVisible(),assertion_retry_wait,assertion,test_body,False,,assertion,assertion_retry,False,False,True,False,ast_assertion_matcher,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,expect(bottomSheet).toBeVisible(),false,,,
super-productivity/super-productivity,3321ca8d30dff3b4916ed62033261997,Playwright,163,"page
    .waitForFunction","page
    .waitForFunction(
      (name) => {
        const cards = Array.from(document.querySelectorAll('plugin-management mat-card'));
        const targetCard = cards.find((card) => {
          const title = card.querySelector('mat-card-title')?.textContent || '';
          return title.includes(name);
        });

        if (targetCard) {
          return true;
        }
        return false;
...",predicate_or_custom_condition,predicate,hook,False,,predicate,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page
    .waitForFunction(
      (name) => {
        const cards = Array.from(document.querySelectorAll('plugin-management mat-card'));
        const targetCard = cards.find((card) => {
          const title = card.querySelector('mat-card-title')?.textContent || '';
          return title.includes(name);
        });

        if (targetCard) {
          return true;
        }
        return false;
...",false,,,
jitsucom/jitsu,f1227d3e166ff66d6e919f2224db4043,Playwright,225,page.waitForFunction,"page.waitForFunction(() => window[""jitsu""] !== undefined, undefined, {
    timeout: 1000,
    polling: 100,
  })",predicate_or_custom_condition,predicate,test_body,False,,predicate,predicate,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForFunction(() => window[""jitsu""] !== undefined, undefined, {
    timeout: 1000,
    polling: 100,
  })",false,,,
MyCryptoHQ/MyCrypto,a4b1dbf8f050dd1b204ff591c01c5b39,TestCafe,51,t.wait,t.wait(FIXTURES_CONST.TIMEOUT),fixed_delay,time,test_body,True,literal_ms,wait_api,fixed_ms,False,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,t.wait(FIXTURES_CONST.TIMEOUT),false,,,
openobserve/openobserve,8984b59fbf380bac7cfbf576608abbad,Playwright,178,"page.getByText(""Dashboard deleted successfully"").waitFor","page.getByText(""Dashboard deleted successfully"").waitFor({
    state: 'visible',
    timeout: 10000
  })",element_state_wait,element,helper,False,,wait_api,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.getByText(""Dashboard deleted successfully"").waitFor({
    state: 'visible',
    timeout: 10000
  })",false,,,
super-productivity/super-productivity,3d3f37b4e012ec35ec530863ffeda459,Playwright,997,page.waitForTimeout,page.waitForTimeout(UI_SETTLE_STANDARD),fixed_delay,time,helper,True,constant_or_expression,wait_api,expression,False,False,False,False,ast_expression_unresolved,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,page.waitForTimeout(UI_SETTLE_STANDARD),false,,,
cloudtogo/pageplug,2985cfd28faa7424da39317e611e1893,Cypress,435,cy.wait,cy.wait(500),fixed_delay,time,helper,True,literal_ms,wait_api,fixed_ms,False,False,False,False,ast_numeric_literal,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(500),false,,,
FuelLabs/fuels-wallet,fd65aea179c8cc3c0f259d66c6f3f906,Playwright,871,context.waitForEvent,"context.waitForEvent('page', {
        predicate: (page) => page.url().includes(extensionId),
        timeout: 10_000,
      })",event_wait,event,test_body,False,,wait_api,event,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"context.waitForEvent('page', {
        predicate: (page) => page.url().includes(extensionId),
        timeout: 10_000,
      })",false,,,
linode/manager,7779a14229566aac3068816bb435bcf1,Cypress,1384,cy.wait,"cy.wait([
        '@getEnterpriseTieredVersions',
        '@getStandardTieredVersions',
        '@getLinodeTypes',
      ])",network_wait,network,test_body,False,alias_array,wait_api,network_alias_array,False,True,False,False,ast_array_literal,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.wait([
        '@getEnterpriseTieredVersions',
        '@getStandardTieredVersions',
        '@getLinodeTypes',
      ])",false,,,
openobserve/openobserve,20a861a0c9465d51b75d8be42d3c208e,Playwright,22,page.waitForLoadState,"page.waitForLoadState('networkidle', { timeout: 30000 })",navigation_or_load_wait,navigation,hook,False,,wait_api,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForLoadState('networkidle', { timeout: 30000 })",false,,,
openobserve/openobserve,c548b0c6d70edb979668bf2289ec5b10,Playwright,511,page.waitForLoadState,"page.waitForLoadState('networkidle', { timeout: 3000 })",navigation_or_load_wait,navigation,helper,False,,wait_api,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForLoadState('networkidle', { timeout: 3000 })",false,,,
cloudtogo/pageplug,decb1890b094fc2271b5aae88c9f6bd6,Cypress,227,cy.wait,cy.wait(2000),fixed_delay,time,hook,True,literal_ms,wait_api,fixed_ms,False,False,False,False,ast_numeric_literal,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(2000),false,,,
openobserve/openobserve,841f12408643afc6fb97a1699d2f5123,Playwright,178,"page.getByText(""Dashboard deleted successfully"").waitFor","page.getByText(""Dashboard deleted successfully"").waitFor({
    state: 'visible',
    timeout: 10000
  })",element_state_wait,element,helper,False,,wait_api,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.getByText(""Dashboard deleted successfully"").waitFor({
    state: 'visible',
    timeout: 10000
  })",false,,,
JetBrains/kotlin-web-site,3d034bfb8fd0181697eacfcffe4e8d79,Playwright,64,context.waitForEvent,context.waitForEvent('page'),event_wait,event,test_body,False,,wait_api,event,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,context.waitForEvent('page'),false,,,
openobserve/openobserve,65d7e8fd0c863dc513e43ce15b36e401,Playwright,21,page.waitForResponse,"page.waitForResponse(
        (response) =>
          /\/api\/.*\/dashboards/.test(response.url()) &&
          response.status() === 200,
        { timeout: 30000 }
      )",network_wait,network,helper,False,alias_expression,wait_api,network,False,True,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForResponse(
        (response) =>
          /\/api\/.*\/dashboards/.test(response.url()) &&
          response.status() === 200,
        { timeout: 30000 }
      )",false,,,
super-productivity/super-productivity,c2ab27ae3c61d99538263d6d0820e54b,Playwright,128,"page
    .waitForEvent","page
    .waitForEvent('download', { timeout: 90000 })",event_wait,event,helper,False,,wait_api,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page
    .waitForEvent('download', { timeout: 90000 })",false,,,
SonicJs-Org/sonicjs,82c0dc356ab0b6176ac3332e0d5bbbe1,Playwright,392,page.waitForLoadState,"page.waitForLoadState('networkidle', { timeout: 15000 })",navigation_or_load_wait,navigation,hook,False,,wait_api,condition,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForLoadState('networkidle', { timeout: 15000 })",false,,,
super-productivity/super-productivity,8a6fae1f98174e7d8bbc38b249d9f617,Playwright,124,page.waitForURL,"page.waitForURL(routeRegex, { timeout: 20000 })",navigation_or_load_wait,navigation,helper,False,,wait_api,condition,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForURL(routeRegex, { timeout: 20000 })",false,,,
linode/manager,227ff4e960d70bd1b09b73e16743dce3,Cypress,196,cy.wait,"cy.wait(['@getCluster', '@getNodePools', '@getTieredVersions'])",network_wait,network,test_body,False,alias_array,wait_api,network_alias_array,False,True,False,False,ast_array_literal,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.wait(['@getCluster', '@getNodePools', '@getTieredVersions'])",false,,,
cypress-io/cypress-realworld-app,62ca8aaa2fdb558d7d313df78bde6faf,Cypress,374,cy.wait,cy.wait(`@${feed.routeAlias}`),network_wait,network,test_body,False,alias_expression,wait_api,network_alias_expression,False,True,False,False,ast_template_literal_head,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(`@${feed.routeAlias}`),false,,,
silevis/reactgrid,0237d73c17772dc0148b99d14be95417,Cypress,40,utils.wait,utils.wait(),unresolved_custom_wait,,test_body,False,,wait_api,none,False,False,False,False,ast_call,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,utils.wait(),false,,,
dyrector-io/dyrectorio,2957ada4f8a19942cd272de0fb3c65a4,Playwright,38,"expect(page.locator('div.card:has(h5:has-text(""1.0.0"")) .bg-error-red:has-text(""DEFAULT"")')).toHaveCount","expect(page.locator('div.card:has(h5:has-text(""1.0.0"")) .bg-error-red:has-text(""DEFAULT"")')).toHaveCount(1)",assertion_retry_wait,assertion,test_body,False,,assertion,assertion_retry,False,False,True,False,ast_assertion_matcher,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"expect(page.locator('div.card:has(h5:has-text(""1.0.0"")) .bg-error-red:has-text(""DEFAULT"")')).toHaveCount(1)",false,,,
ohcnetwork/care_fe,dbdee4a9f70cd30d93d4061819a2c0ad,Playwright,167,page.waitForResponse,"page.waitForResponse(
      (resp) =>
        resp.url().includes(""/product_knowledge/"") &&
        resp.request().method() === ""GET"" &&
        resp.status() === 200,
    )",network_wait,network,test_body,False,alias_expression,wait_api,network,False,True,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForResponse(
      (resp) =>
        resp.url().includes(""/product_knowledge/"") &&
        resp.request().method() === ""GET"" &&
        resp.status() === 200,
    )",false,,,
cloudtogo/pageplug,cd128de001d75b150783fc3db30c9844,Cypress,956,cy.wait,"cy.wait(""@createSuperUser"")",network_wait,network,hook,False,alias_literal,wait_api,alias_literal,False,True,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.wait(""@createSuperUser"")",false,,,
openreplay/openreplay,13a6b4928fc8fa7d71a68af0c9d6a556,Cypress,94,cy.wait,cy.wait(SECOND * 0.5),fixed_delay,time,test_body,True,constant_or_expression,wait_api,time_expression,False,False,False,False,ast_binary_numeric_expression,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(SECOND * 0.5),false,,,
appsmithorg/appsmith,dd5a91fe209c95ef65fa50d0c9442624,Cypress,64,cy.wait,"cy.wait(""@updateLayout"")",network_wait,network,test_body,False,alias_literal,wait_api,alias_literal,False,True,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.wait(""@updateLayout"")",false,,,
cypress-io/cypress-realworld-app,20e07e7f584debfdebb4f24f5d12aa0c,Cypress,295,cy.wait,cy.wait(`@${feed.routeAlias}`),network_wait,network,test_body,False,alias_expression,wait_api,network_alias_expression,False,True,False,False,ast_template_literal_head,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,cy.wait(`@${feed.routeAlias}`),false,,,
mattermost/mattermost,2ca84d151b108306a4e3bb4af09513b9,Cypress,698,"cy.uiGetPostTextBox().
            clear().
            invoke('val', MESSAGES.HUGE).
            wait","cy.uiGetPostTextBox().
            clear().
            invoke('val', MESSAGES.HUGE).
            wait(TIMEOUTS.HALF_SEC)",unresolved_custom_wait,,test_body,False,,wait_api,,False,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"cy.uiGetPostTextBox().
            clear().
            invoke('val', MESSAGES.HUGE).
            wait(TIMEOUTS.HALF_SEC)",false,,,
