repo,test_id,framework,line,name,raw_code,abstraction_kind,interaction_ownership,reuse_scope,workflow_evidence_basis,manual_abstraction_kind_ok,manual_abstraction_kind_should_be,manual_workflow_evidence_ok,manual_workflow_evidence_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
apache/apisix-dashboard,7373ee146e1403b0ca55cc3908583100,Playwright,88,test.step,"test.step('verify proto can be retrieved via API', async () => {
      const proto = await e2eReq
        .get<unknown, APISIXType['RespProtoDetail']>(
          `${API_PROTOS}/${createdProtoId}`
        )
        .then((v) => v.data);

      expect(proto.value?.id).toBe(createdProtoId);
      expect(proto.value?.content).toBe(protoContent);
      expect(proto.value?.create_time).toBeDefi...",playwright_test_step,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step('verify proto can be retrieved via API', async () => {
      const proto = await e2eReq
        .get<unknown, APISIXType['RespProtoDetail']>(
          `${API_PROTOS}/${createdProtoId}`
        )
        .then((v) => v.data);

      expect(proto.value?.id).toBe(createdProtoId);
      expect(proto.value?.content).toBe(protoContent);
      expect(proto.value?.create_time).toBeDefi...",false,,,
mattermost/mattermost,43c3c808116403d05a0c3a386826460e,Cypress,120,sysadminSetup,sysadminSetup(sysadmin),domain_helper,helper_expanded,file_local_helper,ast_helper_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,sysadminSetup(sysadmin),false,,,
mattermost/mattermost,7858059494116810c32f6e23b916afdd,Cypress,50,cy.clickPostDotMenu,cy.clickPostDotMenu(permalinkPostId),domain_helper,helper_expanded,file_local_helper,ast_no_cypress_setup_or_ui_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.clickPostDotMenu(permalinkPostId),false,,,
OpenRailAssociation/osrd,e010b135e2dbaa38f63d57e6f3725a14,Playwright,120,test.step,"test.step('First unique train - data & no tooltip', async () => {
          await roundTripPage.verifyRoundTripCardData({
            roundTripCardIndex: 3,
            expectedCard: FirstUniqueTrain,
          });
          await roundTripPage.verifyNoTooltipDisplayed({ roundTripCardIndex: 3 });
        })",playwright_test_step,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step('First unique train - data & no tooltip', async () => {
          await roundTripPage.verifyRoundTripCardData({
            roundTripCardIndex: 3,
            expectedCard: FirstUniqueTrain,
          });
          await roundTripPage.verifyNoTooltipDisplayed({ roundTripCardIndex: 3 });
        })",false,,,
apache/superset,37f545f3cc49e81434e12ff9712746e1,Cypress,82,skipLogin,skipLogin(),domain_helper,helper_expanded,file_local_helper,ast_helper_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,skipLogin(),false,,,
payloadcms/payload,d82358b7e233c831810fbe6c36239254,Playwright,1917,user2Page.locator,user2Page.locator('.payload__modal-container'),framework_page_instance,direct_in_test,unknown,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,user2Page.locator('.payload__modal-container'),false,,,
Adamant-im/adamant-im,ebfdb82fbf59a1c356f54674d2dbd526,Playwright,41,page.getByRole,"page.getByRole('button', { name: 'Login', exact: true })",domain_helper,helper_expanded,file_local_helper,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.getByRole('button', { name: 'Login', exact: true })",false,,,
twilio/twilio-video-app-react,adff8e7cb4f2a02ed276eb6a855bdfdd,Cypress,12,cy.get('#input-user-name').type,cy.get('#input-user-name').type(username),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get('#input-user-name').type(username),false,,,
plasmicapp/plasmic,10462c294a11d7b0596f170472ba12d0,Cypress,0,createNewPage,,unresolved_helper,unresolved,unknown,resolution_status,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,,false,,,
epicweb-dev/epic-stack,7437dea6ce7bb10c128a6afdc0b69ba8,Playwright,152,prepareGitHubUser,prepareGitHubUser(),playwright_fixture,fixture_callback,playwright_fixture_scope,ast_playwright_fixture_param,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,prepareGitHubUser(),false,,,
mattermost/mattermost,86c444997e07588cf43ca1afe81ac07e,Cypress,44,cy.uiGetReplyTextBox,cy.uiGetReplyTextBox(),domain_helper,helper_expanded,file_local_helper,ast_cypress_locator_query_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.uiGetReplyTextBox(),false,,,
KittyCAD/modeling-app,1dc02f908da49afdf0006a4debf611d8,Playwright,1929,test.step,"test.step('Enter sketch edit mode and exit it', async () => {
      await expect(page.getByText('Building feature tree')).not.toBeVisible({
        timeout: 10000,
      })
      const solveSketchOperation = await toolbar.getFeatureTreeOperation(
        'sketch001',
        0
      )
      await solveSketchOperation.dblclick()
      await page.waitForTimeout(1000)
      await expect(too...",playwright_test_step,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step('Enter sketch edit mode and exit it', async () => {
      await expect(page.getByText('Building feature tree')).not.toBeVisible({
        timeout: 10000,
      })
      const solveSketchOperation = await toolbar.getFeatureTreeOperation(
        'sketch001',
        0
      )
      await solveSketchOperation.dblclick()
      await page.waitForTimeout(1000)
      await expect(too...",false,,,
mattermost/mattermost,b729e99959b154c0edfa62c31ff834dd,Cypress,54,cy.clickEmojiInEmojiPicker,cy.clickEmojiInEmojiPicker('smiley'),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.clickEmojiInEmojiPicker('smiley'),false,,,
mattermost/mattermost,5e19deeaafea1be956662298ee4b8500,Cypress,120,sysadminSetup,sysadminSetup(sysadmin),domain_helper,helper_expanded,file_local_helper,ast_helper_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,sysadminSetup(sysadmin),false,,,
porsche-design-system/porsche-design-system,df65c480f0d95756b1da5b6cc8dad42f,Playwright,330,getCssClasses,getCssClasses(bullet3),domain_helper,helper_expanded,file_local_helper,ast_local_imported_helper,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,getCssClasses(bullet3),false,,,
tldraw/tldraw,e3934d4dc75315c85c7c22af0246ef25,Playwright,45,page.goto,page.goto('http://localhost:5420/end-to-end'),domain_helper,hook_attached,file_local_helper,helper_depth,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,page.goto('http://localhost:5420/end-to-end'),false,,,
cloudtogo/pageplug,ba88a03b50d5a8d6196b82764aae61bd,Cypress,98,PageLeftPane.switchSegment,PageLeftPane.switchSegment(PagePaneSegment.UI),page_object,page_object_method,page_object_library,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,PageLeftPane.switchSegment(PagePaneSegment.UI),false,,,
appsmithorg/appsmith,c84e5d3223da6b17b6d9ccd2857d42a7,Cypress,24,PageLeftPane.switchSegment,PageLeftPane.switchSegment(PagePaneSegment.UI),page_object,page_object_method,page_object_library,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,PageLeftPane.switchSegment(PagePaneSegment.UI),false,,,
appsmithorg/appsmith,71eee8524cd3dff9830c6626929c5815,Cypress,29,_.table.toggleColumnEditableViaColSettingsPane,"_.table.toggleColumnEditableViaColSettingsPane(
        ""amount"",
        ""v2"",
        true,
        true,
      )",domain_helper,hook_attached,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"_.table.toggleColumnEditableViaColSettingsPane(
        ""amount"",
        ""v2"",
        true,
        true,
      )",false,,,
UI5/webcomponents,a24af798169324a30cdd97107c6e862c,Cypress,26,"cy.wrap(subject)
		.shadow()
		.find","cy.wrap(subject)
		.shadow()
		.find(""[ui5-split-button]"")",cypress_custom_command,custom_command_body,framework_extension,ast_cypress_custom_command_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.wrap(subject)
		.shadow()
		.find(""[ui5-split-button]"")",false,,,
eigenpal/docx-editor,3ba242fdf160783a6a993ca1fb7ce66c,Playwright,429,page.evaluate,"page.evaluate(() => {
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    return contentArea?.textContent || '';
  })",page_object,page_object_method,page_object_library,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.evaluate(() => {
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    return contentArea?.textContent || '';
  })",false,,,
payloadcms/payload,6e85c2ddee7a03b1092d038993eedc03,Playwright,1444,user2Page.goto,user2Page.goto(`${serverURL}/admin`),framework_page_instance,direct_in_test,unknown,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,user2Page.goto(`${serverURL}/admin`),false,,,
epicweb-dev/epic-stack,a887b7d96acbab08fc0f0858663a274c,Playwright,339,insertNewUser,insertNewUser({ password }),playwright_fixture,fixture_callback,playwright_fixture_scope,ast_playwright_fixture_param,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,insertNewUser({ password }),false,,,
payloadcms/payload,18afe5649f1c1a8b6d26a534576cc4a5,Playwright,237,page.locator,page.locator('.payload-toast-container .toast-error'),framework_page_instance,helper_expanded,file_local_helper,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,page.locator('.payload-toast-container .toast-error'),false,,,
mattermost/mattermost,7a6b6e8d431a9599a5c2c7e5f1a2e616,Cypress,53,cy.apiAddUserToChannel,"cy.apiAddUserToChannel(channel.id, user.id)",domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiAddUserToChannel(channel.id, user.id)",false,,,
appsmithorg/appsmith,832bb6a7b27db5c10aedf3852fd78f88,Cypress,210,cy.validateLicense,cy.validateLicense(),cypress_custom_command,custom_command_body,framework_extension,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.validateLicense(),false,,,
appsmithorg/appsmith,715439339f3f6043573db63c5efbaa5f,Cypress,962,cy.get,cy.get(welcomePage.continueButton),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_custom_command_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(welcomePage.continueButton),false,,,
cloudtogo/pageplug,7ef528aebd4ec9e81dc9a2f0ed8ba162,Cypress,14,entityExplorer.NavigateToSwitcher,"entityExplorer.NavigateToSwitcher(""Explorer"")",domain_helper,helper_expanded,file_local_helper,ast_local_imported_helper,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"entityExplorer.NavigateToSwitcher(""Explorer"")",false,,,
cloudtogo/pageplug,b3a228776c0548f0e6e842b9ec04336e,Cypress,939,cy.get(welcomePage.proficiencyGroupButton).eq,cy.get(welcomePage.proficiencyGroupButton).eq(0),cypress_custom_command,custom_command_body,framework_extension,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(welcomePage.proficiencyGroupButton).eq(0),false,,,
facebook/lexical,114432a287b94c3c692a8fe59555e0b1,Playwright,136,focusEditor,focusEditor(page),domain_helper,helper_expanded,file_local_helper,ast_local_imported_helper,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,focusEditor(page),false,,,
UI5/webcomponents,89e1507a094ab37323341d52ccd54c89,Cypress,0,eq,,unresolved_helper,unresolved,unknown,resolution_status,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,,false,,,
fastapi/full-stack-fastapi-template,9e1c482be14ec30b403d28c6274eb95d,Playwright,33,logInUser,"logInUser(page, email, password)",domain_helper,helper_expanded,file_local_helper,ast_local_imported_helper,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"logInUser(page, email, password)",false,,,
mattermost/mattermost,9b6840867bbebd9e1c4d4c3d5a86f46b,Cypress,116,sysadminSetup,sysadminSetup(response.user),domain_helper,helper_expanded,file_local_helper,ast_helper_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,sysadminSetup(response.user),false,,,
mattermost/mattermost,507538bdb97f3b8192a8fe0bd5f1cc43,Cypress,113,cy.apiLogin,"cy.apiLogin(admin, requestOptions)",hook_setup_flow,custom_command_body,file_local_helper,ast_cypress_data_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiLogin(admin, requestOptions)",false,,,
