repo,test_id,framework,line,name,raw_code,ui_action_category,locator_present,raw_framework_api,normalized_strategy,locator_composition,robustness_signal,evidence_basis,selector_literal_kind,selector_channel,selector_value_origin,locator_strategy_inferred,locator_evidence_basis,locator_composition_evidence_basis,manual_locator_strategy_ok,manual_locator_strategy_should_be,manual_locator_composition_ok,manual_locator_composition_should_be,manual_selector_literal_kind_ok,manual_selector_literal_kind_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
radix-ui/primitives,72d9f1c7a5b1186cebba7eaff42705f9,Cypress,107,cy.findByPlaceholderText,cy.findByPlaceholderText('name'),locator_query,True,cy.findByPlaceholderText,placeholder_or_alt_title,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByPlaceholderText('name'),false,,,
midas-research/audino,e6b6aa7933b3d6a854119753f6300787,Cypress,1014,cy.contains,"cy.contains('.cvat-constructor-viewer-item', new RegExp(`^${name}$`))",locator_query,True,cy.contains,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,text,text,inline_literal,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.contains('.cvat-constructor-viewer-item', new RegExp(`^${name}$`))",false,,,
carbon-design-system/carbon-components-svelte,085c56351a15ce3fe3a92522ed43af2a,Playwright,15,page.getByLabel,"page.getByLabel(""Quantity"")",locator_query,True,page.getByLabel,label_or_form_affordance,unknown,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByLabel(""Quantity"")",false,,,
chaskiq/chaskiq,54d918e984f7fb335b6b2948cd4d638e,Cypress,240,"cy.wrap($body)
                .xpath","cy.wrap($body)
                .xpath('/html/body/main/div/div/div/main/div/div/div[2]/div/div/textarea')",unknown_action,True,cy.wrap,xpath_selector,unknown,positional_or_structural_signal,regex_fallback,xpath,xpath,variable,xpath_selector,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.wrap($body)
                .xpath('/html/body/main/div/div/div/main/div/div/div[2]/div/div/textarea')",false,,,
mattermost/mattermost,56a08ff7f9c62f7dc16e5390480f48fe,Cypress,153,cy.findByText,cy.findByText('The email/username or password is invalid.'),locator_query,True,cy.findByText,text_content,standalone_locator_query,readable_text_signal,regex_fallback,text,text,inline_literal,text_content,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByText('The email/username or password is invalid.'),false,,,
ohcnetwork/care_fe,a77344daf143e170e2cda51ba64148e0,Playwright,63,"page.getByPlaceholder(""Enter name for the drawing"").fill","page.getByPlaceholder(""Enter name for the drawing"").fill(drawingName)",text_input,True,page.getByPlaceholder,placeholder_or_alt_title,direct_chain,user_facing_accessibility_signal,ast_call_chain,placeholder,placeholder,inline_literal,placeholder_or_alt_title,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByPlaceholder(""Enter name for the drawing"").fill(drawingName)",false,,,
linode/manager,05a3eb9c21e84d752eeacdaa14b40cd3,Cypress,107,"ui.dialog
      .findByTitle","ui.dialog
      .findByTitle(`Migrate Linode ${mockLinode.label} to another region`)",locator_query,True,findByTitle,placeholder_or_alt_title,parameterized_locator,user_facing_accessibility_signal,regex_fallback,title,title,inline_literal,placeholder_or_alt_title,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.dialog
      .findByTitle(`Migrate Linode ${mockLinode.label} to another region`)",false,,,
linode/manager,46708f368f8abeee305b86c7b9335b73,Cypress,37,ui.drawer.findByTitle,ui.drawer.findByTitle('Create Placement Group'),locator_query,True,findByTitle,placeholder_or_alt_title,unknown,user_facing_accessibility_signal,regex_fallback,title,title,inline_literal,placeholder_or_alt_title,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,ui.drawer.findByTitle('Create Placement Group'),false,,,
mattermost/mattermost,694c8e1ee867bdf4be7ea84f8649ac02,Cypress,60,cy.findByTestId,cy.findByTestId('SupportSettings.PrivacyPolicyLinkhelp-text'),locator_query,True,cy.findByTestId,test_id_or_data_contract,standalone_locator_query,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByTestId('SupportSettings.PrivacyPolicyLinkhelp-text'),false,,,
cloudtogo/pageplug,dde4a7bad1377bb8de76d0dfff94674d,Cypress,926,cy.get,cy.get(welcomePage.verifyPassword),locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,member_path,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.verifyPassword),false,,,
cloudtogo/pageplug,3ec758aacd647ce00e3c5d1302855d26,Cypress,927,cy.get,cy.get(welcomePage.continueButton),locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,member_path,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.continueButton),false,,,
eigenpal/docx-editor,2b0c5abb8f3bbea5797932a87dd4290d,Playwright,429,page.evaluate,"page.evaluate(() => {
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    return contentArea?.textContent || '';
  })",locator_query,True,page.evaluate,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,source_metadata,class,class,computed,page_object_mediated,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.evaluate(() => {
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    return contentArea?.textContent || '';
  })",false,,,
linode/manager,de8fd59f1ced7037fe9d3c0a20786237,Cypress,160,cy.findByLabelText,cy.findByLabelText('Endpoint'),locator_query,True,cy.findByLabelText,label_or_form_affordance,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByLabelText('Endpoint'),false,,,
CopilotKit/CopilotKit,fd4c66e45b37b34519da887cbf64c767,Playwright,49,page.getByRole,"page.getByRole(""button"", { name: ""Send"", exact: true })",locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole(""button"", { name: ""Send"", exact: true })",false,,,
apache/apisix-dashboard,3b49712828957a7537bb6d21e6dcf4ab,Playwright,136,page.getByRole,"page.getByRole('button', { name: 'Save' })",locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole('button', { name: 'Save' })",false,,,
cloudtogo/pageplug,51cfcd04e28d4a953b5f520a15ee0480,Cypress,929,cy.get,cy.get(welcomePage.firstName),locator_query,True,cy.get,css_selector,direct_chain,implementation_coupled_signal,ast_call_chain,unknown,unknown,member_path,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.firstName),false,,,
mozilla/fxa,039ddedb4941cd0a28ba378dc01f3aab,Playwright,85,page.getByText,page.getByText('Session expired. Sign in to continue.'),locator_query,True,page.getByText,text_content,unknown,readable_text_signal,regex_fallback,text,text,inline_literal,text_content,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByText('Session expired. Sign in to continue.'),false,,,
deltachat/deltachat-desktop,96e3cdabad78938df0cb151924968aea,Playwright,64,page.getByLabel,page.getByLabel('Chats'),locator_query,True,page.getByLabel,label_or_form_affordance,unknown,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByLabel('Chats'),false,,,
redpanda-data/console,6b9ca9c9d657fcfda6cfbc03a94f9e5c,Playwright,191,page.getByTestId,page.getByTestId('produce-button'),locator_query,True,page.getByTestId,test_id_or_data_contract,direct_chain,stable_test_contract_signal,ast_call_chain,test_id,test_id,inline_literal,test_id_or_data_contract,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByTestId('produce-button'),false,,,
cloudtogo/pageplug,50d20867dea5e5cb5f19e0ccd492ea70,Cypress,44,cy.xpath,cy.xpath(homePage.enablePublicAccess),click,True,cy.xpath,xpath_selector,positional_refinement,positional_or_structural_signal,ast_call_chain,xpath,xpath,member_path,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.xpath(homePage.enablePublicAccess),false,,,
cloudtogo/pageplug,29d96f21abd29780fd3eb499c97afa39,Cypress,1139,cy.xpath(queryLocators.queryTimeout).clear().type,cy.xpath(queryLocators.queryTimeout).clear().type(timeout),text_input,True,cy.xpath,xpath_selector,direct_chain,positional_or_structural_signal,ast_call_chain,xpath,xpath,member_path,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.xpath(queryLocators.queryTimeout).clear().type(timeout),false,,,
linode/manager,0b4479160b88e2d2c93e6f66da1a0288,Cypress,147,ui.autocomplete.findByLabel,ui.autocomplete.findByLabel(''),locator_query,True,findByLabel,label_or_form_affordance,unknown,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,ui.autocomplete.findByLabel(''),false,,,
cloudtogo/pageplug,b1e210a95031ab41b4b88103842a9ad6,Cypress,79,cy.xpath,"cy.xpath(""//span[text()='title']"")",unknown_action,True,cy.xpath,xpath_selector,unknown,positional_or_structural_signal,regex_fallback,xpath,xpath,inline_literal,xpath_selector,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.xpath(""//span[text()='title']"")",false,,,
fastapi/full-stack-fastapi-template,9e4d6574af264636da409e4a454aca0e,Playwright,24,page.getByRole,"page.getByRole(""button"", { name: ""Log In"" })",locator_query,True,page.getByRole,role_or_accessibility,direct_chain,user_facing_accessibility_signal,ast_call_chain,role,role,inline_literal,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole(""button"", { name: ""Log In"" })",false,,,
ueberdosis/tiptap,ded932cfe947afd2449517b21bd5979a,Cypress,13,cy.get,cy.get('.tiptap'),locator_query,True,cy.get,css_selector,standalone_locator_query,implementation_coupled_signal,regex_fallback,class,class,inline_literal,css_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get('.tiptap'),false,,,
ionic-team/ionic-framework,254fc3f09486f70d7923ff328f3274b6,Playwright,350,page.locator,page.locator('ion-datetime .date-column ion-picker-column-option'),locator_query,True,page.locator,framework_selector_object,standalone_locator_query,implementation_coupled_signal,regex_fallback,class,class,inline_literal,framework_selector_object,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.locator('ion-datetime .date-column ion-picker-column-option'),false,,,
CopilotKit/CopilotKit,48880227c5d2549686a8645d7b91558e,Playwright,46,page.getByPlaceholder,"page.getByPlaceholder(""Type a message"")",locator_query,True,page.getByPlaceholder,placeholder_or_alt_title,unknown,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByPlaceholder(""Type a message"")",false,,,
mattermost/mattermost,26d5792f1897670d4bd3c6c1e7728ec8,Playwright,275,page.getByLabel,page.getByLabel('Classification level name'),locator_query,True,page.getByLabel,label_or_form_affordance,unknown,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByLabel('Classification level name'),false,,,
linode/manager,16a7c071d699e3354c7861053a2a0078,Cypress,283,cy.findByLabelText,"cy.findByLabelText('First and last name', { exact: false })",locator_query,True,cy.findByLabelText,label_or_form_affordance,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByLabelText('First and last name', { exact: false })",false,,,
chaskiq/chaskiq,36200392b1a8e80fb016cbd7c0c42b5b,Cypress,166,"cy.wrap($body)
          .xpath('/html/body/main/div/div[2]/div/div[1]/div/div/div/div[2]/a[1]')
          .click","cy.wrap($body)
          .xpath('/html/body/main/div/div[2]/div/div[1]/div/div/div/div[2]/a[1]')
          .click()",click,True,cy.wrap,xpath_selector,direct_chain,positional_or_structural_signal,regex_fallback,xpath,xpath,variable,xpath_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.wrap($body)
          .xpath('/html/body/main/div/div[2]/div/div[1]/div/div/div/div[2]/a[1]')
          .click()",false,,,
mattermost/mattermost,88e9aa7e640dfe8ab238a30eb4857ccb,Cypress,65,cy.findByRole,"cy.findByRole('textbox', `write to ${displayName.toLowerCase()}`)",locator_query,True,cy.findByRole,role_or_accessibility,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByRole('textbox', `write to ${displayName.toLowerCase()}`)",false,,,
cloudtogo/pageplug,54e492cb9e39506fc33d40486b5bf2ec,Cypress,1562,$ele.find,$ele.find(this.locator._specificToast(error)),locator_query,True,$ele,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,computed,page_object_mediated,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,$ele.find(this.locator._specificToast(error)),false,,,
ohcnetwork/care_fe,dbdee4a9f70cd30d93d4061819a2c0ad,Playwright,147,page.getByText,page.getByText(/Base Unit/),locator_query,True,page.getByText,text_content,direct_chain,readable_text_signal,ast_call_chain,text,text,computed,text_content,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByText(/Base Unit/),false,,,
appsmithorg/appsmith,97b615814f8c80cfa02774f1d2bfd437,Cypress,87,"cy.xpath(this._contextMenu(entityNameinLeftSidebar))
      .scrollIntoView()
      .last()
      .click","cy.xpath(this._contextMenu(entityNameinLeftSidebar))
      .scrollIntoView()
      .last()
      .click({ force: true })",click,True,cy.xpath,xpath_selector,positional_refinement,positional_or_structural_signal,ast_call_chain,xpath,xpath,call_expression,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.xpath(this._contextMenu(entityNameinLeftSidebar))
      .scrollIntoView()
      .last()
      .click({ force: true })",false,,,
linode/manager,67754370ec4d02d27e944b56dcddebc2,Cypress,120,"ui.accordionHeading
          .findByTitle('Alerts')
          .should('be.visible')
          .should('be.enabled')
          .click","ui.accordionHeading
          .findByTitle('Alerts')
          .should('be.visible')
          .should('be.enabled')
          .click()",click,True,findByTitle,placeholder_or_alt_title,direct_chain,user_facing_accessibility_signal,ast_call_chain,title,title,inline_literal,placeholder_or_alt_title,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.accordionHeading
          .findByTitle('Alerts')
          .should('be.visible')
          .should('be.enabled')
          .click()",false,,,
cloudtogo/pageplug,f50e32967395cfdbdafc66475d9228cb,Cypress,927,cy.get,cy.get(welcomePage.continueButton),locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,member_path,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.continueButton),false,,,
UI5/webcomponents,54a19a6a9756cd51b76e45a6ec4ec01f,Cypress,83,"cy.get(""@ddr"")
		.shadow()
		.find(""[ui5-responsive-popover]"")
		.find","cy.get(""@ddr"")
		.shadow()
		.find(""[ui5-responsive-popover]"")
		.find(`[ui5-datetime-picker]#${pickerId}`)",locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,cypress_alias_reference,cypress_alias_reference,inline_literal,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(""@ddr"")
		.shadow()
		.find(""[ui5-responsive-popover]"")
		.find(`[ui5-datetime-picker]#${pickerId}`)",false,,,
appsmithorg/appsmith,eab50bd1f3779c017b4874b44393fb38,Cypress,464,cy.xpath,"cy.xpath(locators._buttonByText(""Submit"") + ""/parent::div"")",locator_query,True,cy.xpath,xpath_selector,unknown,positional_or_structural_signal,regex_fallback,xpath,xpath,computed,xpath_selector,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.xpath(locators._buttonByText(""Submit"") + ""/parent::div"")",false,,,
CopilotKit/CopilotKit,b9ea91912cf9e919897fa51a94d9960f,Playwright,105,page.getByPlaceholder,"page.getByPlaceholder(""Type a message..."")",locator_query,True,page.getByPlaceholder,placeholder_or_alt_title,unknown,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByPlaceholder(""Type a message..."")",false,,,
midas-research/audino,743ed18cff41bd02f3f006ba6f60dcc1,Cypress,409,cy.get('.cvat-job-item').contains,"cy.get('.cvat-job-item').contains('a', `Job #${jobID}`)",locator_query,True,cy.get,text_content,direct_chain,readable_text_signal,ast_call_chain,text,text,inline_literal,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get('.cvat-job-item').contains('a', `Job #${jobID}`)",false,,,
growilabs/growi,e8c442937a6aabfac922627f3efc0e6d,Playwright,72,page.getByTestId,page.getByTestId('admin-slack-integration'),locator_query,True,page.getByTestId,test_id_or_data_contract,unknown,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByTestId('admin-slack-integration'),false,,,
OHIF/Viewers,60af1f0535d1b1ec1cc58dbf8e335271,Playwright,121,mainToolbarPageObject.layoutSelection.MPR.click,mainToolbarPageObject.layoutSelection.MPR.click(),click,True,t.layoutSelection.MPR.click,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,ast_call_chain,unknown,unknown,none,page_object_mediated,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,mainToolbarPageObject.layoutSelection.MPR.click(),false,,,
CopilotKit/CopilotKit,c7e62aca94e1365dda8ff72bb49774f6,Playwright,46,page.getByPlaceholder,"page.getByPlaceholder(""Type a message"")",locator_query,True,page.getByPlaceholder,placeholder_or_alt_title,unknown,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByPlaceholder(""Type a message"")",false,,,
