rq,framework,api_pattern,receiver_or_namespace,emitted_feature_type,mapped_category,category_definition,scope_or_gate,implementation_source,notes
RQ4,Puppeteer,page.evaluate scroll; scrollTo,page; DOM,ui_action,scroll,Scrolling interaction,Requires scroll method or detected scroll mutation,05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,
RQ4,TestCafe,t.navigateTo,t,ui_action,navigation,Explicit page or route navigation,Counted as user action in sequence metrics when emitted as UI action,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,
RQ4,TestCafe,t.click,t,ui_action,click,Pointer activation of a visible element,Requires TestCafe action method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,TestCafe,t.typeText,t,ui_action,text_input,Typing or changing text in an editable field,Requires typeText method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,TestCafe,t.pressKey,t,ui_action,keyboard_input,Keyboard command or key sequence,Requires pressKey method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,TestCafe,t.selectText; t.click checkbox/radio,t,ui_action,selection,Visible selection operation,Requires TestCafe selection or control method,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/classify.py,
RQ4,TestCafe,t.hover,t,ui_action,hover,Hover or pointer-over interaction,Requires hover method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,TestCafe,t.drag,t,ui_action,drag_drop,Drag or drop interaction,Requires drag method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,TestCafe,t.setFilesToUpload,t,ui_action,file_upload,File upload through file input,Requires upload method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,WebDriverIO,browser.url,browser,ui_action,navigation,Explicit page or route navigation,Counted as user action in sequence metrics when emitted as UI action,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,
RQ4,WebDriverIO,element.click; browser.click,$ element; browser,ui_action,click,Pointer activation of a visible element,Requires WebDriverIO context so arbitrary dollar calls are not counted,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,WebDriverIO,element.setValue; element.addValue,$ element,ui_action,text_input,Typing or changing text in an editable field,Requires WebDriverIO element receiver,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,
RQ4,WebDriverIO,browser.keys; element.keys,browser; element,ui_action,keyboard_input,Keyboard command or key sequence,Requires keyboard/key API evidence,05-implementation/rq-aggregation/classify.py,
RQ4,WebDriverIO,element.selectBy*; element.click checkbox/radio,$ element,ui_action,selection,Visible option checkbox or radio selection,Requires selection/control method,05-implementation/rq-aggregation/classify.py,
RQ4,WebDriverIO,element.moveTo,$ element,ui_action,hover,Hover or pointer-over interaction,Requires moveTo method,05-implementation/rq-aggregation/classify.py,
RQ4,WebDriverIO,dragAndDrop,$ element,ui_action,drag_drop,Drag or drop interaction,Requires dragAndDrop method,05-implementation/rq-aggregation/classify.py,
RQ4,WebDriverIO,uploadFile; setValue file input,browser; element,ui_action,file_upload,File upload through file input,Requires upload evidence,05-implementation/rq-aggregation/classify.py,
RQ4,Nightwatch,browser.url,browser,ui_action,navigation,Explicit page or route navigation,Counted as user action in sequence metrics when emitted as UI action,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,
RQ4,Nightwatch,browser.click,browser,ui_action,click,Pointer activation of a visible element,Requires Nightwatch action method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,Nightwatch,browser.setValue,browser,ui_action,text_input,Typing or changing text in an editable field,Requires setValue method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,Nightwatch,browser.keys,browser,ui_action,keyboard_input,Keyboard command or key sequence,Requires key API evidence,05-implementation/rq-aggregation/classify.py,
RQ4,Nightwatch,browser.moveToElement,browser,ui_action,hover,Hover or pointer-over interaction,Requires moveToElement method,05-implementation/rq-aggregation/classify.py,
