rq,framework,api_pattern,receiver_or_namespace,emitted_feature_type,mapped_category,category_definition,scope_or_gate,implementation_source,notes
RQ1,Cypress,cy.intercept,cy,network_mock,network_mock_or_spy,Network intercept mock or spy setup,Eligible when emitted as network_mock setup or hook/helper setup,05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Includes alias-based route spies
RQ1,Cypress,cy.fixture,cy,input,test_data_or_backend_state,Framework fixture data used for setup or mock payload,Fixture must be setup-like or tied to mock/backend state,05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,RQ2 separately records fixture input provenance
RQ1,Cypress,cy.request,cy,control,test_data_or_backend_state,API request that seeds or mutates backend state,Request target or method must indicate backend data setup or mutation,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,"Request domain is resolved from method, target, and payload evidence"
RQ1,Cypress,cy.task,cy,control,test_data_or_backend_state,Backend task used to seed reset or mutate test state,Task name must indicate setup backend data or cleanup intent,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Task names such as seed reset db cleanup are high-trust
RQ1,Cypress,cy.session,cy,control,auth_session_state,Authentication or reusable session state setup,Eligible when session/auth evidence is present,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,May combine with login helpers
RQ1,Cypress,cy.setCookie; cy.clearCookie; cy.clearCookies; cy.getCookie; cy.getCookies,cy,browser_context_control,browser_context_or_client_state,Browser cookie or client state manipulation,Eligible as browser context or cleanup depending on action,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Clear commands can map to cleanup_restore_state
RQ1,Cypress,cy.clock; cy.tick; cy.viewport,cy,time_control,time_device_permission_emulation,Clock viewport or device-like test environment control,Eligible when emitted as setup/control/time_control,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Viewport is not counted as direct UI action
RQ1,Cypress,cy.exec; cy.readFile; cy.writeFile,cy,control,server_or_external_environment,External process or file-system environment setup,Requires server file or external environment context,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Server or file-system setup evidence determines this category
RQ1,Cypress,cleanup/reset/delete/restore custom commands,cy or custom command,custom_command_call,cleanup_restore_state,State cleanup or restoration,Cleanup lexical or expanded helper evidence required,05-implementation/test-feature-extraction/lib/phase2c/customCommandRegistry.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Expanded custom-command evidence determines this category
RQ1,Puppeteer,page.goto,page,ui_action,navigation_bootstrap,Entry navigation that establishes the page under test,Counts only when eligible under the RQ1 line-order setup gate,05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Also appears as RQ4 navigation when treated as a user action
RQ1,Puppeteer,page.setRequestInterception; request/response mocking,page; request,control,network_mock_or_spy,Network mock or spy setup,Requires request interception mock route or spy evidence,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Mapped through request-interception and network-mock patterns
RQ1,Puppeteer,page.setCookie; deleteCookie; localStorage/sessionStorage,page; storage,control,browser_context_or_client_state,Browser context or client-side state manipulation,Eligible when stateful setup/control evidence is present,05-implementation/rq-aggregation/classify.py; 05-implementation/rq-aggregation/setup_teardown_intent.py,Cleanup verbs map to cleanup_restore_state
RQ1,Puppeteer,page.setViewport; emulate; emulateTimezone; geolocation,page,control,time_device_permission_emulation,Device time permission or viewport emulation,Eligible when environment emulation evidence is present,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Mapped through environment-emulation patterns
RQ1,TestCafe,t.navigateTo,t,ui_action,navigation_bootstrap,Entry navigation that establishes the page under test,Counts only when eligible under the RQ1 line-order setup gate,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Also appears as RQ4 navigation when treated as a user action
RQ1,TestCafe,fixture.before/after/beforeEach/afterEach,fixture,setup,generic_setup_teardown_utility,Fixture or suite setup and teardown,Hook phase and fixture scope determine phase/scope,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Child operations can provide a more specific intent
RQ1,TestCafe,t.useRole; Role,t; Role,setup,auth_session_state,Authentication role or session setup,Role or auth context evidence required,05-implementation/rq-aggregation/setup_teardown_intent.py,Detected through lexical auth/session patterns
RQ1,TestCafe,setCookies; deleteCookies; t.setCookies,t; browser,control,browser_context_or_client_state,Browser cookie or client state manipulation,Eligible as browser context or cleanup depending on action,05-implementation/rq-aggregation/setup_teardown_intent.py,Mapped through cookie and cleanup patterns
RQ1,WebDriverIO,browser.url,browser,ui_action,navigation_bootstrap,Entry navigation that establishes the page under test,Counts only when eligible under the RQ1 line-order setup gate,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Also appears as RQ4 navigation when treated as a user action
RQ1,WebDriverIO,browser.mock; mock.clear; mock.restore,browser; mock,control,network_mock_or_spy,Network mock or spy setup,Requires mock route spy or cleanup context,05-implementation/rq-aggregation/setup_teardown_intent.py,Cleanup verbs map to cleanup_restore_state
RQ1,WebDriverIO,browser.setCookies; deleteCookies; reloadSession,browser,control,browser_context_or_client_state,Browser session cookie or client state manipulation,Eligible as browser context or cleanup depending on action,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,reloadSession can be cleanup or context reset
RQ1,WebDriverIO,browser.setWindowSize; emulate; throttle,browser,control,time_device_permission_emulation,Device viewport or environment emulation,Eligible when environment emulation evidence is present,05-implementation/rq-aggregation/setup_teardown_intent.py,Generic support through environment patterns
RQ1,Nightwatch,browser.url,browser,ui_action,navigation_bootstrap,Entry navigation that establishes the page under test,Counts only when eligible under the RQ1 line-order setup gate,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Also appears as RQ4 navigation when treated as a user action
RQ1,Nightwatch,browser.setCookie; deleteCookie; session/window controls,browser,control,browser_context_or_client_state,Browser cookie session or window state manipulation,Eligible as browser context or cleanup depending on action,05-implementation/rq-aggregation/setup_teardown_intent.py,Mapped through framework state-control patterns
